episode,loss,game
0,4.798519837676098,533117711551133556666220066555577441111222233002211001166007788880055228811444455885277664433338833668822624477203324008
1,4.839767838814738,622226600775577337777117788110022333322116655003355336644114444331122886666772255552200006633888855447740487
2,4.841943721530893,65511771155557700666622220011333377221111663355336688880073881144110022712233005500445544785822524444332266440033446611886608442
3,4.77582145714839,38888666600008811771155113355337766227777444466555566111100333366883322554477887700224433005858001166445822884
4,4.726317973090976,76622226666000088881133117755115533771111665555770055001122110022033355225544556633664477774433887738561
5,4.687442589875772,74444000088882200775511771155773311113355336611223344110055550012662255221222880066024455443328464686330677033387276
6,4.6540519078175375,6331177115511335566662200005533332222336611112211883344188800181877445577660028244425554
7,4.619421592044365,8880088666622771133551155337777555588228833338877006688447722331177445500116611225566336644118811444433220044665522448055460077667100330000226
8,4.595871018641162,8222266660000881155117711333355770055337766555500772200111122116633228855227777441100225544523311447750444433664400338866187788442
9,4.569715015878968,6222266660000775511335533771177772288115555002211116655220033336677001122338855447788886633244455880055774411004433008844083344814
10,4.552072335176785,4448888666600008822881177115511335533776622770055007777221111667744333322552266558855447100445366887344220011440801222
11,4.535078351494203,25577117755553355000088113311556622005522226611112211441233336688002277663388777700667744445544330018228855142244772833246648860
12,4.519056538591707,6000088220077117755113355337777444455550055881111667700221122256633336628554477664433280011004400668888334428772418465
13,4.5064077714767405,422226666000088113311771155111166557700552200221124445533336633885555007725447777440011003344332488668828880
14,4.492003234599878,466660000882200771177551133557777337744440055550011552222336611110033881166554433445533125212885272668866224323330068780
15,4.477540459306958,444888866660088227711775511335577772233880011116611003333774433225533665522130055445500662288776633442244668858331846402200026
16,4.465898772090557,64444008866660000771155113355337755662277223388002222885555221111665544525244774433663300110033220044667788414
17,4.4546400076988375,888008866660000771177551133553377772233338811114444331166550033667788552288773344110022562200112222668844224477476702127
18,4.443025442817922,766226666000088227755117711335533337722887777001166550073225555220055447122211100444455885566114433663344003388115576880
19,4.429831916420784,40000882266007711775511335533772233222200111122116633444411003300555500228855225277445466543330442
20,4.416206581067549,488886666008822771177551133557777223388778800116644333373003344550076112288553636225522684
21,4.40690250683616,888008866660000771177551133553377772277444433338822336655550011003322554455221166447788528832005022442266222
22,4.396621174935988,4888866008822666622771177551133557777223377667788747433883322880011664444112255345522003111881466142
23,4.384944932241648,6222266000088117711551133553377220077770022333322111166555500112288554477444455225566336672442274334411086688784408088
24,4.372268443386713,16666008866227755777711773355000077444433337766553311225555885544770011005566111144552213668800638822224422334400246
25,4.363019832470349,466660088662277117755113355777722337788774433880022664400116633225522885500336611005544776655553344558833368888442200021111544
26,4.349565330711501,4666600008822771177551133557722333388776622885544778800116633224455220033661100550066443377734444065555668831448861112258184424188
27,4.338812163010737,22266660000882200771177551133553377772233332655550011663344112544574438503644005688110044483800286611184
28,4.325547956371118,42222666600008822007711775511337722333388111100332288553366554477883344443622116675001144552244125278664050684878088
29,4.313608794335859,58800882266660000771177551133553377227777444433338833116655003322001122336630662211110455442224778855552644668
30,4.297186571673914,88800886666007711777755113355337722774433338822332288550033665544778611001166364455221111220066225222668422448
31,4.287191835570644,6888866008822666622771177551133557777223388778833747433220011664444550033336611112255334411442218552288005555446638440022465586704060700
32,4.277976779733551,46666000088227711772233775511335500116644334455221122554441114100333555662200778852883240502
33,4.268769797286001,144440088662266660000776655117722770011661111225522115533443355557788554451004411336633882244668844228
34,4.2584051715461335,2226666000088220077113355117755337722333388111100332288554477444455550011663366118800665522521122778877770434114422440
35,4.245290993757727,222666600008822007711335511775533772233338811110033228855447744445555221166550011225244336688327788663066114424118800564848777700488
36,4.2332380365582924,42222000088223377117722881155113333887744445533225544336622776611112244770011663100552855550066880021888144046
37,4.223191929628774,16666000088117722774400778855003355331155111100228800447700552233445222118866524444336677668833882258887733248
38,4.2130228997628745,75555117722666600008811335533771155662277007766552288554477443333880056116633664457706044603024442011110411448868218
39,4.202360344310064,7775511772266660000882200771133553377444433331155550011665522338855445566334477664400348
40,4.191327921109797,68888660088226666227755117722335577778877113377440000116633225544552211112244443344667766442200330066555505648
41,4.181263385949769,3008866000077117722662277551133337777444400116655338855003322334433554455225556361100228800447788776644111126784468388141815
42,4.170639384809317,31111772288666622777788775511335577660000880077001166552200444433338855334455442255550022256611005588336688874477112300332066448
43,4.16115345381371,84444000088117722771155113355337700776655002266003322005555443366116633445522558855662288664422110011446688022244774418223776766
44,4.151750993831982,16666008866226655117788227777557722335500001122111100332255228855445533443333663376442555880065614
45,4.142334802363924,522666600008822771177551133553377223333887777665500112255445566334433220033661111442858306644448
46,4.132249048237806,188886600882266662277551133557777223388778833700011664455228855443344663333630033225500442200755560611144421122410
47,4.124102388213331,45511772266000088115533770077333311665566227766112255552211110044336688554473448863224444635300228888220011442233880038440
48,4.114710033319611,06666008822662277223355117777557788753375000076555544443333112288561111332633445676883044764424048808446
49,4.105277776303426,444882266660000881177227711553311333355111122885522338877661166334433667744554422550033220066880022457622283300118865607
50,4.095586053574774,2773377117777226600008822331155335511112288550033338877883322001166334455443555222255661144457700224866468800558816221
51,4.08748523866754,622226666000077117722775511335533777766550088220011663333221125554455285811110033443366114411886644478800274848783886804
52,4.079261186920799,42222666622771177220000882233115533335577774444338877665500112255221111661100334455440066332555660077336144885588447788683
53,4.071648223193249,46666008866226655117722777755778822335500007733337711228855444433883322111166367766881144552255556422447700340064110488458
54,4.064934284037843,7775511772277115577000088223355337733331133885500116611114433441122552200354455663100662266887788444422440188048866446654774
55,4.057547385268308,4115511772277000088223355333377665500773311225555445522001111663322110044778855664433662288006688444227413
56,4.049809862096766,4666600008811772277115511333355007766556611663388552288662211110033220022514444547788006411222
57,4.042229163712745,87733771177226666000088115511665533331111225555003344332200228855445788663356223677774400776611006188014468442222127702444888283
58,4.035535789229233,48888666600882266227755117777223355778875000075337655444433331122885588111100332200445144768833442211336611624
59,4.028751241619689,38888660000881177227711551133553311116655661122110033228800114444552200225555443855770055024418783474662424048
60,4.021203080239657,388886600008822666622771177223355337755113333111122885500116633221100334455443522520044222244414838778840580
61,4.0140918234968535,4448866008822666622771177775577223355000077665533331122885544332255221111001166445566334788336611403388006688773307420
62,4.007660386319666,255775511772266662277770000882233553333776655007733112200663322885555445566110011164433447788304
63,4.000894728031211,3444400008811776600772266551166220022227711555533221111225522885544556633667788661100357700443588005500668831446644142488747848288
64,3.9949115925249563,8666600008822665511771155337700776611333311663388111122110055662288555522554455001144334442436643220033557777880022284885806047473
65,3.9882425505722785,5771177226666000088115533113355665522007766112211116633334455443366442255558855003388662244414288006300227700122
66,3.9821518121875883,60000882266551177662277115533337700773311661111221144443344552255663366768855554488001100664463887322005573002244728860318811304
67,3.9763355639353195,4448866008822666622771177772233557788775500007655333311228855443322556611110011663344503688005066442206788
68,3.9708998445300727,622227711772266660000775511665533550011115566112211003322885454334467444424148
69,3.9657970706495047,422226666227711772200007755113377770088223333221111244433553344555500116611003366004411440025778888658855406
70,3.9595509494167493,6662277117722335577778877443377665500008855333311551133220077002288334411116633661122554455221100667144442222446644703
